time,open,high,low,close,volume
2025-10-09 03:10:00,225.49,225.65,225.48,225.65,6.93870639
2025-10-09 03:11:00,225.72,225.73,225.65,225.65,3.66045014
2025-10-09 03:12:00,225.57,225.83,225.57,225.83,20.35892235
2025-10-09 03:13:00,225.8,225.83,225.78,225.78,2.24827623
2025-10-09 03:14:00,225.68,225.68,225.49,225.49,17.13131401
2025-10-09 03:15:00,225.52,225.73,225.52,225.65,35.86932915
2025-10-09 03:16:00,225.65,225.91,225.64,225.91,176.77055577
2025-10-09 03:17:00,225.9,225.95,225.9,225.95,1.78525228
2025-10-09 03:18:00,225.94,226.06,225.94,226.06,8.20649507
2025-10-09 03:19:00,226.09,226.09,225.92,225.92,16.81564722
2025-10-09 03:20:00,225.86,226.03,225.86,226.0,1057.9626782
2025-10-09 03:21:00,225.98,226.02,225.94,226.02,1.40459878
2025-10-09 03:22:00,226.12,226.32,226.12,226.32,8.6023681
2025-10-09 03:23:00,226.33,226.36,226.32,226.32,58.1234874
2025-10-09 03:24:00,226.33,226.33,226.32,226.32,114.98923867
2025-10-09 03:25:00,226.23,226.23,226.13,226.13,1.12529611
2025-10-09 03:26:00,226.13,226.13,225.82,225.83,223.41728764
2025-10-09 03:27:00,225.82,225.86,225.81,225.86,24.26295975
2025-10-09 03:28:00,225.99,226.02,225.82,225.83,143.855418
2025-10-09 03:29:00,225.81,225.84,225.81,225.84,4.38303443
2025-10-09 03:30:00,225.84,225.96,225.84,225.85,40.85162862
2025-10-09 03:31:00,225.84,225.84,225.84,225.84,0.06058
2025-10-09 03:32:00,225.81,225.81,225.8,225.81,1.51816602
2025-10-09 03:33:00,225.83,226.08,225.83,226.08,10.80676
2025-10-09 03:34:00,226.11,226.26,226.07,226.26,63.64223169
2025-10-09 03:35:00,226.28,226.28,225.9,225.94,18.61486
2025-10-09 03:36:00,225.94,226.23,225.94,226.23,4.15259
2025-10-09 03:37:00,226.19,226.3,226.18,226.3,109.04197
2025-10-09 03:38:00,226.19,226.19,226.12,226.12,34.8540365
2025-10-09 03:39:00,226.14,226.14,226.01,226.09,4.07651609
2025-10-09 03:40:00,226.01,226.07,226.01,226.07,10.40535141
2025-10-09 03:41:00,226.03,226.03,225.96,225.97,47.08244
2025-10-09 03:42:00,225.93,225.93,225.57,225.57,16.90669833
2025-10-09 03:43:00,225.64,225.64,225.59,225.59,42.54740727
2025-10-09 03:44:00,225.59,225.59,225.54,225.54,1057.31448544
2025-10-09 03:45:00,225.56,225.61,225.56,225.61,22.85725339
